country,Date,population_growth_annual_percent.,population_total.,children_per_woman_total_fertility.,population_density_per_square_km.,total_gdp_us_inflation_adjusted.,gdp_per_capita_yearly_growth.,gdppercapita_us_inflation_adjusted.,children_and_elderly_per_100_adults.,life_expectancy_years.,child_mortality_0_5_year_olds_dying_per_1000_born.,gdp_total_yearly_growth.,income_per_person_gdppercapita_ppp_inflation_adjusted.
Albania,1980,2.05,2680000,3.62,97.9,5640000000.0,0.706,2110.0,70.2,72.3,77.8,2.81,4390.0
Albania,1981,2.0,2740000,3.53,99.8,5960000000.0,0.536,2190.0,68.9,72.4,72.0,2.56,4400.0
Albania,1982,2.11,2790000,3.45,102.0,6140000000.0,0.55,2210.0,67.8,72.5,66.8,2.49,4410.0
Albania,1983,2.12,2840000,3.38,104.0,6210000000.0,0.584,2180.0,66.8,72.6,61.9,2.54,4430.0
Albania,1984,2.1,2900000,3.32,106.0,6130000000.0,0.569,2110.0,65.8,72.8,57.4,2.68,4440.0
Albania,1985,2.06,2970000,3.27,108.0,6240000000.0,0.523,2100.0,65.0,73.0,53.4,2.83,4450.0
Albania,1986,1.93,3040000,3.22,111.0,6590000000.0,0.635,2180.0,64.3,73.2,49.8,3.22,4470.0
Albania,1987,2.0,3120000,3.16,114.0,6540000000.0,0.629,2120.0,63.6,73.2,46.7,3.37,4490.0
Albania,1988,1.89,3200000,3.11,117.0,6450000000.0,0.633,2050.0,63.1,73.4,44.1,3.18,4510.0
Albania,1989,2.69,3250000,3.05,119.0,7080000000.0,0.754,2190.0,62.5,73.7,41.8,2.68,4530.0
Albania,1990,1.8,3280000,2.98,120.0,6400000000.0,0.893,1950.0,61.8,73.9,40.0,1.94,4560.0
Albania,1991,-0.603,3280000,2.91,120.0,4510000000.0,-28.9,1380.0,62.5,73.9,38.3,-28.9,3230.0
Albania,1992,-0.606,3240000,2.83,118.0,4180000000.0,-8.1,1290.0,63.1,73.9,36.9,-8.79,3010.0
Albania,1993,-0.61,3190000,2.75,116.0,4580000000.0,8.78,1420.0,63.5,73.9,35.5,7.38,3320.0
Albania,1994,-0.614,3140000,2.67,115.0,4970000000.0,7.44,1550.0,63.9,74.0,34.2,5.93,3620.0
Albania,1995,-0.618,3110000,2.59,113.0,5630000000.0,12.6,1760.0,64.2,74.1,32.9,11.2,4130.0
Albania,1996,-0.622,3090000,2.51,113.0,6140000000.0,8.65,1940.0,63.2,74.3,31.5,7.66,4530.0
Albania,1997,-0.625,3090000,2.42,113.0,5470000000.0,-10.6,1740.0,62.2,72.5,30.1,-11.1,4070.0
Albania,1998,-0.629,3100000,2.33,113.0,5970000000.0,12.3,1910.0,61.4,74.3,28.7,11.8,4460.0
Albania,1999,-0.633,3120000,2.25,114.0,6770000000.0,9.58,2180.0,60.6,74.4,27.4,9.36,5100.0
Albania,2000,-0.637,3120000,2.16,114.0,7220000000.0,6.79,2340.0,59.6,74.4,26.0,6.76,5470.0
Albania,2001,-0.938,3120000,2.07,114.0,7800000000.0,6.69,2550.0,58.7,74.5,24.8,6.89,5960.0
Albania,2002,-0.3,3120000,1.98,114.0,8130000000.0,2.86,2660.0,57.6,74.5,23.5,3.28,6230.0
Albania,2003,-0.374,3110000,1.9,114.0,8590000000.0,5.45,2830.0,56.4,74.6,22.4,6.03,6620.0
Albania,2004,-0.418,3100000,1.82,113.0,9090000000.0,5.36,3000.0,55.0,74.7,21.4,5.97,7020.0
Albania,2005,-0.512,3080000,1.75,112.0,9600000000.0,4.96,3190.0,53.5,74.9,20.4,5.53,7460.0
Albania,2006,-0.631,3050000,1.7,111.0,10100000000.0,5.27,3380.0,52.2,75.2,19.4,5.77,7920.0
Albania,2007,-0.7559999999999999,3020000,1.67,110.0,10700000000.0,5.41,3610.0,50.9,75.4,18.6,5.85,8450.0
Albania,2008,-0.767,2990000,1.65,109.0,11100000000.0,6.84,3780.0,49.7,75.6,17.9,7.24,9150.0
Albania,2009,-0.674,2960000,1.65,108.0,11500000000.0,2.91,3930.0,48.6,75.9,17.2,3.28,9530.0
Albania,2010,-0.496,2940000,1.65,107.0,11900000000.0,2.98,4090.0,47.9,76.3,16.6,3.36,9930.0
