index,country,Date,population_growth_annual_percent,population_total,population_density_per_square_km,total_gdp_us_inflation_adjusted,gdppercapita_us_inflation_adjusted,children_and_elderly_per_100_adults,life_expectancy_years,child_mortality_0_5_year_olds_dying_per_1000_born,gdp_total_yearly_growth
0,Albania,1980,0.29649155131708055,-0.5617237523616644,-0.10462697240580086,-0.3711207041322424,-0.5250080492609828,-0.09002056013641613,0.5670043045051617,0.12637533982939325,-0.06713722074897054
1,Albania,1981,0.2517811024330787,-0.5600404130282736,-0.09388465264257827,-0.3706258116096594,-0.5196599508477572,-0.15887795911670494,0.5773502186974351,0.03965396066850772,-0.11994638568516179
2,Albania,1982,0.35014408997788293,-0.5586376302504478,-0.08144617712726782,-0.3703474345657065,-0.5183229262444508,-0.21714191210002684,0.5876961328897069,-0.03809624133780351,-0.1347329518672953
3,Albania,1983,0.35908617975468354,-0.5572348474726221,-0.07013847211334924,-0.37023917682639146,-0.5203284631494104,-0.2701091420848645,0.5980420470819788,-0.1113608547668275,-0.12417111888005711
4,Albania,1984,0.3412020002010827,-0.5555515081392313,-0.05883076709943067,-0.3703628999570372,-0.5250080492609828,-0.3230763720697022,0.618733875466524,-0.17864468342613526,-0.09459798651578996
5,Albania,1985,0.30543364109388116,-0.5535876122502753,-0.047523062085512095,-0.3701927806523993,-0.525676561562636,-0.36545015605757214,0.6394257038510692,-0.23845253112329773,-0.06291248755407523
6,Albania,1986,0.18918647399547595,-0.5516237163613192,-0.030561504564634235,-0.36965149195582414,-0.5203284631494104,-0.40252721704695865,0.6601175322356144,-0.29227959405074394,0.019469809746383165
7,Albania,1987,0.2517811024330787,-0.5493792639167981,-0.013599947043756373,-0.3697288189124777,-0.5243395369593296,-0.43960427803634483,0.6601175322356144,-0.3386306760160448,0.0511553087080979
8,Albania,1988,0.15341811488827434,-0.547134811472277,0.0033616104771214887,-0.3698680074344542,-0.5290191230709019,-0.46608789302876363,0.6808093606201596,-0.3775057770192004,0.011020343356592556
9,Albania,1989,0.8687852970323057,-0.5457320286944514,0.014669315491040063,-0.36889368778061893,-0.5196599508477572,-0.4978682310196663,0.7118471031969766,-0.41189528944506887,-0.09459798651578996
10,Albania,1990,0.07293930689707095,-0.5448903590277558,0.02032316799799935,-0.3699453343911078,-0.5357042460874339,-0.5349452920090528,0.7325389315815218,-0.4388088209087919,-0.25091311472691613
11,Albania,1991,-2.075844866468063,-0.5448903590277558,0.02032316799799935,-0.3728682933526137,-0.5738094472816664,-0.4978682310196663,0.7325389315815218,-0.46422715618008603,-6.76545170125547
12,Albania,1992,-2.0785274934011033,-0.5460125852500165,0.009015462984080775,-0.37337865126652736,-0.5798260579965452,-0.46608789302876363,0.7325389315815218,-0.48515990287409283,-2.5174824737882453
13,Albania,1993,-2.0821043293118233,-0.5474153680278422,-0.0022922420298377984,-0.3727600356132986,-0.5711353980750535,-0.44490100103482866,0.7325389315815218,-0.5060926495680997,0.8982143142846057
14,Albania,1994,-2.0856811652225438,-0.5488181508056679,-0.007946094536797085,-0.37215688535140057,-0.562444738153562,-0.4237141090408937,0.7428848457737938,-0.5255302000696774,0.5919211576546963
15,Albania,1995,-2.0892580011332638,-0.5496598204723633,-0.01925379955071566,-0.37113616952357315,-0.5484059798188448,-0.40782394004544215,0.7532307599660656,-0.5449677505712553,1.705138354509608
16,Albania,1996,-2.092834837043984,-0.5502209335834936,-0.01925379955071566,-0.3703474345657065,-0.5363727583890872,-0.4607911700302798,0.7739225883506108,-0.5659004972652621,0.95736057901314
17,Albania,1997,-2.095517463977024,-0.5502209335834936,-0.01925379955071566,-0.3713836157848647,-0.5497430044221512,-0.5137584000151174,0.5876961328897069,-0.586833243959269,-3.005439157798652
18,Albania,1998,-2.0990942998877444,-0.5499403770279284,-0.01925379955071566,-0.3706103462183287,-0.5383782952940468,-0.5561321840029878,0.7739225883506108,-0.6077659906532759,1.8318803503564671
19,Albania,1999,-2.102671135798464,-0.5493792639167981,-0.013599947043756373,-0.3693731149118712,-0.5203284631494104,-0.5985059679908578,0.7842685025428842,-0.6272035411548537,1.3164629005792403
20,Albania,2000,-2.106247971709185,-0.5493792639167981,-0.013599947043756373,-0.3686771723019889,-0.5096322663229591,-0.6514731979756955,0.7842685025428842,-0.6481362878488606,0.7672475852428513
21,Albania,2001,-2.375404873990876,-0.5493792639167981,-0.013599947043756373,-0.3677801796048072,-0.4955935079882419,-0.6991437049620493,0.794614416735156,-0.6660786421580093,0.7947083510096707
22,Albania,2002,-1.8048995462310113,-0.5493792639167981,-0.013599947043756373,-0.36726982169089345,-0.4882398726700567,-0.7574076579453708,0.794614416735156,-0.6855161926595871,0.032144009331068986
23,Albania,2003,-1.871071010579334,-0.5496598204723633,-0.013599947043756373,-0.3665584136896804,-0.4768751635419523,-0.8209683339271762,0.8049603309274278,-0.7019633507763068,0.613044823629173
24,Albania,2004,-1.9104162055972558,-0.5499403770279284,-0.01925379955071566,-0.36578514412314445,-0.4655104544138479,-0.8951224559059489,0.8153062451197012,-0.7169153127005974,0.6003706240444869
25,Albania,2005,-1.9944718494991798,-0.5505014901390587,-0.024907652057674947,-0.3649964091652778,-0.4528087206824371,-0.9745733008832054,0.8359980735042464,-0.731867274624888,0.5074264937567904
26,Albania,2006,-2.1008827178431044,-0.5513431598057541,-0.030561504564634235,-0.36422313959874186,-0.4401069869510263,-1.0434306998634941,0.8670358160810635,-0.7468192365491786,0.5581232920955339
27,Albania,2007,-2.212658840053109,-0.5521848294724496,-0.03621535707159352,-0.36329521611889876,-0.4247312040130027,-1.1122880988437833,0.8877276444656087,-0.7587808060886111,0.5750222248751151
28,Albania,2008,-2.2224951388075898,-0.553026499139145,-0.04186920957855281,-0.36267660046567,-0.4133664948848983,-1.1758487748255884,0.9084194728501523,-0.7692471794356145,0.8686411819203387
29,Albania,2009,-2.139333703883346,-0.5538681688058404,-0.047523062085512095,-0.3620579848124412,-0.4033388103601003,-1.23411272780891,0.9394572154269709,-0.7797135527826179,0.032144009331068986
30,Albania,2010,-1.980164505856299,-0.5544292819169707,-0.05317691459247138,-0.3614393691592125,-0.39264261353364904,-1.2711897887982964,0.9808408721960599,-0.7886847299371923,0.0490429421106502
31,Algeria,1980,1.1728163494435189,-0.09543875701239934,-0.6122298504806056,-0.27158544552773656,-0.42406269171134947,1.430138940428425,-0.488278943106628,1.1760030669145944,-0.23401418194733492
32,Algeria,1981,1.2264688881043213,-0.07860536367849086,-0.6108163873538658,-0.26833771334828566,-0.42406269171134947,1.4089520484344897,-0.3537820586070864,0.9517236380502352,-0.09459798651578996
33,Algeria,1982,1.2532951574347226,-0.058966404788930955,-0.6092898471769869,-0.261223633336155,-0.41670905639316425,1.3771717104435874,-0.25032291668436113,0.7124922472615853,0.7228878866964507
34,Algeria,1983,1.2532951574347226,-0.042133011455022476,-0.6077633070001078,-0.25472816897725314,-0.41136095797993866,1.340094649454201,-0.11582603218481954,0.47326085647293553,0.4525049622231514
35,Algeria,1984,1.2264688881043213,-0.022494052565462573,-0.6061802282981592,-0.2477687428784297,-0.40534434726505986,1.2924241424678466,0.008324938122450179,0.2519718199934345,0.5158759601465811
36,Algeria,1985,1.1638742596667186,-0.0028550936759026745,-0.6045971495962107,-0.24281981765259972,-0.4040073226617535,1.2288634664860414,0.12212999423744657,0.06507229593980181,0.43349366284612256
37,Algeria,1986,1.101279631229116,0.013978299658005811,-0.6029575323691925,-0.24235585591267814,-0.4100239333766323,1.1758962365012036,0.19455139358335402,-0.07398094995610086,-0.8575848015138814
38,Algeria,1987,1.0297429130147129,0.03361725854756571,-0.6016006077675222,-0.24328377939252127,-0.4193831055997771,1.1070388375209148,0.2669727929292615,-0.17116870246398996,-0.7817508406655107
39,Algeria,1988,0.9492641050235091,0.05325621743712561,-0.5999044520154344,-0.24467566461228596,-0.4287422778229219,1.0275879925436584,0.3290482780828956,-0.23695733493086865,-1.1000844869008717
40,Algeria,1989,0.8509011174787049,0.0728951763266855,-0.5982082962633467,-0.23864416199330565,-0.4247312040130027,0.9375437015694341,0.3807778490442579,-0.27732763212645334,0.06171714169533612
41,Algeria,1990,0.7525381299339007,0.08972856966059399,-0.5965121405112588,-0.23756158460015533,-0.4287422778229219,0.8369059645982431,0.43250742000562015,-0.3042411635901764,-0.9670053912616697
42,Algeria,1991,0.6541751423890965,0.10936752855015389,-0.595381370009867,-0.2392627776465344,-0.4374329377444135,0.7362682276270511,0.47389107677471054,-0.32517391028418324,-0.8888478271561066
43,Algeria,1992,0.5468700650674917,0.12620092188406237,-0.5936852142577792,-0.23678831503361938,-0.43876996234771987,0.6303337676573758,0.5049288193515276,-0.34162106840090295,-0.31217174605289805
44,Algeria,1993,0.4306228979690867,0.14303431521797086,-0.5919890585056914,-0.23972673938645597,-0.4481291345708647,0.5138058616907328,0.5359665619283447,-0.35657303032519355,-1.1317699858625863
45,Algeria,1994,0.29649155131708055,0.15986770855187935,-0.5908582880042995,-0.24096397069291345,-0.4548142575873967,0.38138778672863866,0.5463124761206165,-0.37302018844191326,-0.8717376577167806
46,Algeria,1995,0.15341811488827434,0.1738955363301364,-0.5897275175029077,-0.2357057376404691,-0.45080318377747747,0.24367298876806104,0.5670043045051617,-0.38946734655863297,0.11875103982642268
47,Algeria,1996,0.019286768236268553,0.1879233641083935,-0.5885967470015159,-0.22982888893479597,-0.4454550853642519,0.11125491380596686,0.618733875466524,-0.40441930848292357,0.1250881396187657
48,Algeria,1997,-0.10590248863893684,0.20195119188665056,-0.587465976500124,-0.2281276958884169,-0.4467921099675583,-0.03705333015157846,0.6394257038510692,-0.416380878022356,-0.4452508416921
49,Algeria,1998,-0.20426547618374125,0.21317345410925623,-0.5863352059987321,-0.2205496541363647,-0.43876996234771987,-0.18536157410912377,0.649771618043341,-0.42684725136935947,0.40180816388440793
50,Algeria,1999,-0.2758021943981444,0.2272012818875133,-0.5852044354973402,-0.2159100367371491,-0.4347588885378007,-0.33366981806666984,0.6911552748124314,-0.43432323233150477,0.0025708769668019472
51,Algeria,2000,-0.3294547330589466,0.23842354411011896,-0.5840736649959485,-0.2097238802048616,-0.42941079012457506,-0.47668133902573134,0.7325389315815218,-0.44329440948607907,-0.1431824182570859
52,Algeria,2001,-0.3741651819429486,0.2496458063327246,-0.5829428944945566,-0.20353772367257408,-0.4253997163146559,-0.6249895829832767,0.7532307599660656,-0.4552559790255116,-0.10727218610047588
53,Algeria,2002,-0.40099145127334984,0.26086806855533023,-0.5823775092438607,-0.19425848887414285,-0.4153720317898579,-0.7574076579453708,0.7842685025428842,-0.47170313714223133,0.1990209705294335
54,Algeria,2003,-0.40099145127334984,0.27209033077793593,-0.5812467387424688,-0.18033963667649597,-0.4006647611534875,-0.8739355639120139,0.794614416735156,-0.4911406876438091,0.8263938499713857
55,Algeria,2004,-0.36522309216614823,0.28331259300054157,-0.5801159682410769,-0.1726069410111366,-0.39264261353364904,-0.9798700238816892,0.8566899018887901,-0.5120734343378159,0.4820780945874186
56,Algeria,2005,-0.3026284637285456,0.29734042077879863,-0.578985197739685,-0.1602346279465616,-0.38060939210389144,-1.069914314855913,0.8877276444656087,-0.5359965734166809,0.4757409947950756
57,Algeria,2006,-0.23109174551414244,0.3113682485570557,-0.5778544272382932,-0.15559501054734598,-0.37994087980223823,-1.1387717138362021,0.9084194728501523,-0.5569293201106877,-0.29738517987076446
58,Algeria,2007,-0.16849711707653964,0.32539607633531276,-0.5767236567369013,-0.14786231488198662,-0.37459278138901264,-1.186442220822556,0.9394572154269709,-0.5778620668046947,0.06171714169533612
59,Algeria,2008,-0.08801830908533605,0.34222946966922124,-0.5755928862355095,-0.14322269748277097,-0.37258724448405306,-1.2182225588134588,0.9601490438115147,-0.5972996173062725,-0.23401418194733492
60,Algeria,2009,0.001402588682667752,0.35906286300312973,-0.5738967304834217,-0.13858308008355535,-0.37258724448405306,-1.23411272780891,0.9808408721960599,-0.6137467754229922,-0.30160991306565976
61,Algeria,2010,0.09082348645067174,0.3758962563370382,-0.5722005747313339,-0.130850384418196,-0.36790765837248063,-1.228816004810426,1.001532700580605,-0.6286987373472828,0.09340264065705085
62,Antigua and Barbuda,1980,-1.6412593033155642,-0.6348536241352741,0.2860542358250858,-0.3792338484243375,-0.3077415512236926,-0.43960427803634483,0.39112376323652975,-0.3939529351359201,1.0059450107544359
63,Antigua and Barbuda,1981,-1.9953660584768598,-0.6348620408319411,0.28040038331812656,-0.3792106503373414,-0.2916972559840158,-0.5561321840029878,0.442853334197892,-0.41937127040721417,0.4884151943797616
64,Antigua and Barbuda,1982,-2.295820274977353,-0.6348816797908307,0.2747465308111673,-0.3792106503373414,-0.289023206777403,-0.6408797519787282,0.4842369909669824,-0.44329440948607907,-0.5914266102354774
65,Antigua and Barbuda,1983,-2.5381509079286433,-0.6349041243152759,0.2634388257972487,-0.3791766264764138,-0.2642882516162346,-0.7044404279605332,0.5463124761206165,-0.4672175485649441,0.7017642207219743
66,Antigua and Barbuda,1984,-2.6812243443574495,-0.6349293744052767,0.2521311207833301,-0.37911012529369176,-0.21749239050051053,-0.7680011039423384,0.5670043045051617,-0.48964549145138,0.8390680495560714
67,Antigua and Barbuda,1985,-2.734876883018252,-0.6349546244952776,0.24082341576941155,-0.3790529033457681,-0.17671314009966532,-0.82626505692566,0.5876961328897069,-0.5105782381453868,0.9763718783901688
68,Antigua and Barbuda,1986,-2.7885294216790544,-0.6349826801508341,0.2238618582485337,-0.3789632040760499,-0.11320447144261127,-0.847451948919595,0.618733875466524,-0.5419773581863971,1.2066198375119626
69,Antigua and Barbuda,1987,-2.797471511455855,-0.6350107358063907,0.2125541532346151,-0.37890443558899317,-0.06774563493019363,-0.8580453949165623,0.649771618043341,-0.5703860858425492,1.3481483995409553
70,Antigua and Barbuda,1988,-2.582861356812645,-0.6350303747652801,0.20124644822069654,-0.3788549463367349,-0.02964043373596121,-0.8421552259211111,0.6704634464278862,-0.5972996173062725,1.151698305978324
71,Antigua and Barbuda,1989,-2.113401643530625,-0.6350444025930584,0.19559259571373724,-0.3788039105453435,0.009133279759924416,-0.752110934946887,0.6911552748124314,-0.6227179525775665,0.7587981188530607
72,Antigua and Barbuda,1990,-1.4436391192482754,-0.6350415970275027,0.20124644822069654,-0.3787729797626821,0.029188648809520427,-0.5985059679908578,0.7221930173892486,-0.6466410916564315,0.025806909538726077
73,Antigua and Barbuda,1991,-0.7211182652828039,-0.6350247636341688,0.20690030072765583,-0.378749781675686,0.035873771826052434,-0.6143961369863093,0.7428848457737938,-0.6690690345428674,-0.14529478485453362
74,Antigua and Barbuda,1992,-0.06119203975493504,-0.6349939024130568,0.2238618582485337,-0.37873586282348837,0.035873771826052434,-0.6038026909893417,0.7532307599660656,-0.6900017812368742,-0.44313847509465226
75,Antigua and Barbuda,1993,0.41273871841548593,-0.634951818929722,0.24082341576941155,-0.3786786408755647,0.055929140875648445,-0.5773190759969228,0.763576674158339,-0.7109345279308812,0.479965727989971
76,Antigua and Barbuda,1994,0.7078276810498985,-0.6349013187497202,0.2634388257972487,-0.378599767379778,0.08266963294177647,-0.572022352998439,0.7739225883506108,-0.7288768822400298,0.6679663551628118
77,Antigua and Barbuda,1995,0.7972485788179026,-0.6348480130041628,0.2860542358250858,-0.3786538962494355,0.029188648809520427,-0.5879125219938905,0.7842685025428842,-0.7453240403567495,-1.545793838962326
78,Antigua and Barbuda,1996,0.8687852970323057,-0.6347919016930498,0.31432349835988227,-0.37857656929278194,0.055929140875648445,-0.6620666439726631,0.7842685025428842,-0.7617711984734692,0.7397868194760319
79,Antigua and Barbuda,1997,0.9224378356931081,-0.6347329848163811,0.3425927608946787,-0.3785069750317937,0.07598450992524446,-0.7203305969559847,0.825652159311973,-0.7767231603977598,0.4060328970793031
80,Antigua and Barbuda,1998,0.8598432072555056,-0.6346712623741568,0.36520817092251584,-0.37844356692733777,0.08935475595830847,-0.7574076579453708,0.8463439876965183,-0.7901799261296214,0.27929090123244416
81,Antigua and Barbuda,1999,0.6541751423890965,-0.6346179566285994,0.3934774334573123,-0.3783909845968133,0.10272500199137248,-0.7732978269408224,0.8359980735042464,-0.8036366918614829,0.2159199033090147
82,Antigua and Barbuda,2000,0.35908617975468354,-0.6345674564485977,0.41609284348514947,-0.37829664570969596,0.1361506170740325,-0.7891879959362735,0.8153062451197012,-0.8141030652084864,-0.34385724501461273
83,Antigua and Barbuda,2001,0.02822885801306895,-0.6345253729652629,0.4330544010060273,-0.3783708795880834,0.08266963294177647,-0.8156716109286923,0.8566899018887901,-0.8245694385554897,-0.1959915831932772
84,Antigua and Barbuda,2002,-0.2758021943981444,-0.6344917061785951,0.4500159585269052,-0.37835541419675267,0.07598450992524446,-0.847451948919595,0.8773817302733353,-0.8335406157100641,-0.1283958520749524
85,Antigua and Barbuda,2003,-0.48147025926455345,-0.6344636505230385,0.4613236635408237,-0.3782657149270345,0.11609524802443649,-0.8739355639120139,0.8980735586578805,-0.8410165966722094,0.44194312923591317
86,Antigua and Barbuda,2004,-0.5530069774789564,-0.6344355948674821,0.4782852210617016,-0.37817292257905016,0.1495208631070965,-0.8845290099089811,0.9187653870424257,-0.8484925776343547,0.8623040821279957
87,Antigua and Barbuda,2005,-0.5351227979253557,-0.6344075392119256,0.48959292607562016,-0.37806466483973517,0.19631672422282054,-0.8792322869104977,0.9394572154269709,-0.8559685585965,0.31942586658394945
88,Antigua and Barbuda,2006,-0.49041234904135383,-0.6343794835563691,0.5009006310895388,-0.3778481493611051,0.2899084464542686,-0.9216060708983677,0.9498031296192427,-0.8619493433662163,2.0219933441267552
89,Antigua and Barbuda,2007,-0.472528169487753,-0.6343486223352569,0.5178621886104167,-0.3776625646651365,0.37012992265265265,-0.9692765778847214,0.9911867863883331,-0.8664349319435035,0.8200567501790426
90,Antigua and Barbuda,2008,-0.472528169487753,-0.6343177611141447,0.5291698936243352,-0.3776625646651365,0.35675967661958863,-1.022243807869559,1.0118786147728769,-0.8724157167132197,-0.34808197820950804
91,Antigua and Barbuda,2009,-0.472528169487753,-0.6342868998930326,0.546131451145213,-0.3779254763177587,0.22305721628894856,-1.0805077608528806,1.0429163573496953,-0.878396501482936,-2.9209444939007465
92,Antigua and Barbuda,2010,-0.5082965285949547,-0.6342560386719204,0.5574391561591316,-0.37806466483973517,0.1495208631070965,-1.144068436834686,1.032570443157422,-0.8828820900602232,-2.261886115497079
93,Argentina,1980,-0.18638129663014044,0.1514510118849251,-0.5999044520154344,-0.03032534076852413,-0.12791174207898168,-0.4872747850226986,0.3083564496983504,-0.38647695417377476,-0.3375201452222698
94,Argentina,1981,-0.15955502729973925,0.16267327410753077,-0.5993390667647385,-0.050430349498458496,-0.1660169432732141,-0.43430755503786095,0.3497401064674408,-0.43731362471636287,-1.8288509630203111
95,Argentina,1982,-0.13272875796933803,0.17670110188578783,-0.5982082962633467,-0.06589574082917725,-0.19810553375256773,-0.40252721704695865,0.3807778490442579,-0.4806743142968056,-1.3007593136583986
96,Argentina,1983,-0.12378666819253764,0.1907289296640449,-0.5970775257619548,-0.05352342776460225,-0.1880778492277697,-0.3866370480515075,0.39112376323652975,-0.5180542191075321,0.23915593588093872
97,Argentina,1984,-0.13272875796933803,0.20195119188665056,-0.5965121405112588,-0.04733727123231475,-0.1847352877195037,-0.37604360205453985,0.42216150581334827,-0.5479581429561133,-0.18965448340093427
98,Argentina,1985,-0.15061293752293883,0.21597901966490762,-0.595381370009867,-0.07208189736146474,-0.22818858732696173,-0.3548567100606045,0.4635451625824372,-0.5718812820349783,-2.1288070198578772
99,Argentina,1986,-0.16849711707653964,0.2300068474431647,-0.5942505995084751,-0.04733727123231475,-0.20077958295918052,-0.3548567100606045,0.4945829051592543,-0.588328440151698,0.9172256136616346
100,Argentina,1987,-0.18638129663014044,0.24122910966577035,-0.5936852142577792,-0.0380580364338835,-0.19476297224430172,-0.33366981806666984,0.5152747335437995,-0.5972996173062725,-0.07769905373620885
101,Argentina,1988,-0.20426547618374125,0.25525693744402744,-0.5925544437563874,-0.04733727123231475,-0.21348131669059134,-0.3177796490712179,0.5256206477360729,-0.6017852058835597,-1.0409382221723373
102,Argentina,1989,-0.23109174551414244,0.2692847652222845,-0.5914236732549956,-0.07208189736146474,-0.25359205478978336,-0.3124829260727345,0.5359665619283447,-0.6032804020759887,-2.1435935860400113
103,Argentina,1990,-0.25791801484454363,0.28050702744489014,-0.5902929027536037,-0.07981459302682412,-0.26896783772780697,-0.3283730950681856,0.5463124761206165,-0.6062707944608469,-1.0515000551595757
104,Argentina,1991,-0.2758021943981444,0.2945348552231472,-0.5897275175029077,-0.04115111470002725,-0.22484602581869575,-0.33366981806666984,0.5670043045051617,-0.6137467754229922,1.6206436906117023
105,Argentina,1992,-0.3026284637285456,0.3085626830014043,-0.5885967470015159,-0.0009410972401585084,-0.1787186770046249,-0.3548567100606045,0.5876961328897069,-0.6242131487699956,1.4516543628158902
106,Argentina,1993,-0.3294547330589466,0.31978494522400996,-0.587465976500124,0.022256989755919613,-0.1573262833517225,-0.39723049404847444,0.6083879612742521,-0.6391651106942862,0.6151571902266205
107,Argentina,1994,-0.3741651819429486,0.333812773002267,-0.5869005912494281,0.04545507675199773,-0.1345968650955137,-0.43430755503786095,0.6394257038510692,-0.657107465003435,0.6320561230062018
108,Argentina,1995,-0.40993354105015023,0.34503503522487267,-0.5857698207480362,0.03308276368742274,-0.1559892587484161,-0.46608789302876363,0.649771618043341,-0.6735546231201546,-1.231051215942626
109,Argentina,1996,-0.4546439899341522,0.35625729744747836,-0.5852044354973402,0.05628085068350085,-0.13392835279386048,-0.4925715080211825,0.6704634464278862,-0.6900017812368742,0.5560109254980863
110,Argentina,1997,-0.4993544388181542,0.367479559670084,-0.5840736649959485,0.09185125074415397,-0.09782868850458766,-0.5137584000151174,0.6911552748124314,-0.7064489393535939,1.10100150763958
111,Argentina,1998,-0.5261807081485554,0.37870182189268964,-0.5835082797452525,0.1088631812079446,-0.08245290556656405,-0.5349452920090528,0.7118471031969766,-0.7214009012778845,0.18212203774985225
112,Argentina,1999,-0.5351227979253557,0.38992408411529533,-0.5823775092438607,0.09339778987722584,-0.10852488533103886,-0.5561321840029878,0.7325389315815218,-0.7348576670097461,-1.374692144569066
113,Argentina,2000,-0.544064887702156,0.4039519118935524,-0.5818121239931647,0.08875817247801022,-0.11922108215749007,-0.5773190759969228,0.763576674158339,-0.7468192365491786,-0.8311802190457858
114,Argentina,2001,-0.544064887702156,0.41517417411615803,-0.5806813534917729,0.06865316374807585,-0.1486356234302309,-0.6038026909893417,0.7842685025428842,-0.757285609896182,-1.6155019366780983
115,Argentina,2002,-0.544064887702156,0.4263964363387637,-0.5801159682410769,0.01916391148977586,-0.21013875518232533,-0.6249895829832767,0.794614416735156,-0.7662567870507564,-3.005439157798652
116,Argentina,2003,-0.5530069774789564,0.43761869856136937,-0.578985197739685,0.05473431155042898,-0.1753761154963589,-0.6461764749772116,0.8049603309274278,-0.7737327680129017,1.1897209047323813
117,Argentina,2004,-0.5619490672557568,0.448840960783975,-0.5778544272382932,0.09339778987722584,-0.13727091430212648,-0.667363366971147,0.8359980735042464,-0.781208748975047,1.2150693039017535
