index,0,1,2
0,"[0.0605653  0.         0.06565405 0.         0.02703808 0.70714722
 0.01957782 0.10500784 0.0150097 ]","[0.00523789 0.08593259 0.07333042 0.05089774 0.11078381 0.02947064
 0.13775244 0.34962424 0.15697022]","[0.06429268 0.02777778 0.00694444 0.04365079 0.00386246 0.09775641
 0.04920635 0.43450482 0.27200427]"
1,"[0.03276301 0.05897343 0.15811164 0.06552603 0.07039986 0.23297977
 0.14076215 0.21427371 0.02621041]","[0.         0.01406593 0.         0.         0.0151049  0.06153846
 0.31466063 0.40714932 0.18748075]","[0.00000000e+00 1.37038447e-02 0.00000000e+00 3.08336506e-02
 4.00972176e-01 5.22840424e-01 3.14382319e-02 0.00000000e+00
 2.11672658e-04]"
2,"[0.57333333 0.         0.07861028 0.0141202  0.07978836 0.05873016
 0.0365489  0.1334222  0.02544657]","[0.02410714 0.         0.03041652 0.00114796 0.02410714 0.02410714
 0.38185133 0.48785969 0.02640306]","[0.01056751 0.09369863 0.         0.03670527 0.19874857 0.35233624
 0.07556137 0.20956741 0.02281499]"
3,"[0.43471022 0.         0.03366059 0.04417952 0.00403927 0.01095587
 0.         0.44480677 0.02764775]","[0.00608766 0.00267857 0.         0.00845315 0.69342221 0.10982967
 0.04017857 0.04567669 0.09367347]","[0.1069571  0.01323835 0.03577107 0.16317805 0.0610504  0.14243953
 0.11471843 0.29626572 0.06638135]"
4,"[0.08552299 0.04896824 0.02698013 0.07528638 0.04141677 0.1076077
 0.41494505 0.17672727 0.02254545]","[0.12715513 0.         0.03142732 0.         0.         0.14693294
 0.         0.6944846  0.        ]","[0.         0.09428879 0.         0.00086309 0.02524544 0.50525947
 0.3373557  0.03698751 0.        ]"
5,"[0.01062828 0.02524544 0.02524544 0.03115076 0.0756407  0.71178121
 0.04835867 0.06058906 0.01136045]","[0.         0.04055054 0.         0.0016638  0.0638415  0.
 0.65266522 0.24127894 0.        ]","[0.03175758 0.00402755 0.03272727 0.04446005 0.12050562 0.06636364
 0.40961048 0.22542385 0.06512397]"
6,"[0.02883885 0.0398314  0.04720157 0.01047655 0.05495108 0.25307153
 0.3016574  0.26397163 0.        ]","[0.03229503 0.0094282  0.00078568 0.00263726 0.04714099 0.02999881
 0.53972537 0.33709075 0.00089792]","[0.47039094 0.         0.         0.01917614 0.06163758 0.24375367
 0.13070193 0.07433974 0.        ]"
7,"[0.07558096 0.09782839 0.         0.0104974  0.01702223 0.25776407
 0.22335558 0.26282702 0.05512435]","[0.03616071 0.00997079 0.         0.00826531 0.1251717  0.21876657
 0.2285128  0.36856028 0.00459184]","[0.         0.03801653 0.02597403 0.04808124 0.         0.33217863
 0.52883103 0.02691854 0.        ]"
8,"[0.18330832 0.06851922 0.0021562  0.01733605 0.         0.13703845
 0.03324299 0.54174332 0.01665544]","[0.03616071 0.07006402 0.         0.03214286 0.01125    0.
 0.66546644 0.16080882 0.02410714]","[0.06245788 0.05697769 0.00280721 0.0297982  0.15604219 0.63170977
 0.         0.03122674 0.02898032]"
9,"[0.0710084  0.         0.00495879 0.05336538 0.19247702 0.09140625
 0.47058824 0.10994591 0.00625   ]","[0.03487438 0.01468216 0.02006262 0.         0.06889689 0.32030505
 0.298375   0.2170779  0.025726  ]","[0.0291387  0.         0.00614734 0.         0.03859861 0.
 0.73136567 0.19474968 0.        ]"
