,country,Date,population_density_per_square_km.,population_total.,gdp_per_capita_yearly_growth.,children_and_elderly_per_100_adults.,income_per_person_gdppercapita_ppp_inflation_adjusted.
0,Afghanistan,1990,18.8,12200000,-5.58,101.0,1040.0
1,Afghanistan,1991,19.9,13000000,-0.5720000000000001,101.0,1030.0
2,Afghanistan,1992,21.4,14000000,-7.95,101.0,950.0
3,Afghanistan,1993,23.1,15100000,-13.9,101.0,818.0
4,Afghanistan,1994,24.8,16200000,-10.4,101.0,732.0
5,Afghanistan,1995,26.2,17100000,20.3,100.0,881.0
6,Afghanistan,1996,27.3,17800000,2.66,101.0,904.0
7,Afghanistan,1997,28.2,18400000,2.82,102.0,930.0
8,Afghanistan,1998,28.9,18900000,2.83,103.0,956.0
9,Afghanistan,1999,29.7,19400000,2.71,103.0,982.0
10,Afghanistan,2000,30.8,20100000,-1.05,103.0,972.0
11,Afghanistan,2001,32.1,21000000,-10.4,103.0,871.0
12,Afghanistan,2002,33.7,22000000,22.1,102.0,1060.0
13,Afghanistan,2003,35.3,23100000,8.04,101.0,1100.0
14,Afghanistan,2004,36.9,24100000,2.5,100.0,1060.0
15,Afghanistan,2005,38.4,25100000,8.61,99.1,1140.0
16,Afghanistan,2006,39.7,25900000,1.59,99.6,1160.0
17,Afghanistan,2007,40.8,26600000,10.8,100.0,1290.0
18,Afghanistan,2008,41.8,27300000,0.117,100.0,1300.0
19,Afghanistan,2009,42.9,28000000,17.3,100.0,1530.0
20,Afghanistan,2010,44.1,28800000,5.17,99.5,1610.0
21,Afghanistan,2011,45.5,29700000,3.85,97.7,1660.0
22,Afghanistan,2012,47.0,30700000,11.2,95.3,1840.0
23,Afghanistan,2013,48.6,31700000,1.13,92.6,1810.0
24,Afghanistan,2014,50.2,32800000,0.8370000000000001,89.8,1780.0
25,Afghanistan,2015,51.7,33700000,2.11,87.0,1750.0
26,Afghanistan,2016,53.1,34700000,2.68,84.6,1740.0
27,Afghanistan,2017,54.4,35500000,2.76,82.5,1800.0
28,Afghanistan,2018,55.7,36400000,3.02,80.4,1870.0
29,Afghanistan,2019,57.0,37200000,3.38,78.2,1950.0
30,Albania,1990,120.0,3280000,0.893,61.8,4560.0
31,Albania,1991,120.0,3280000,-28.9,62.5,3230.0
32,Albania,1992,118.0,3240000,-8.1,63.1,3010.0
33,Albania,1993,116.0,3190000,8.78,63.5,3320.0
34,Albania,1994,115.0,3140000,7.44,63.9,3620.0
35,Albania,1995,113.0,3110000,12.6,64.2,4130.0
36,Albania,1996,113.0,3090000,8.65,63.2,4530.0
37,Albania,1997,113.0,3090000,-10.6,62.2,4070.0
38,Albania,1998,113.0,3100000,12.3,61.4,4460.0
39,Albania,1999,114.0,3120000,9.58,60.6,5100.0
40,Albania,2000,114.0,3120000,6.79,59.6,5470.0
41,Albania,2001,114.0,3120000,6.69,58.7,5960.0
42,Albania,2002,114.0,3120000,2.86,57.6,6230.0
43,Albania,2003,114.0,3110000,5.45,56.4,6620.0
44,Albania,2004,113.0,3100000,5.36,55.0,7020.0
45,Albania,2005,112.0,3080000,4.96,53.5,7460.0
46,Albania,2006,111.0,3050000,5.27,52.2,7920.0
47,Albania,2007,110.0,3020000,5.41,50.9,8450.0
48,Albania,2008,109.0,2990000,6.84,49.7,9150.0
49,Albania,2009,108.0,2960000,2.91,48.6,9530.0
50,Albania,2010,107.0,2940000,2.98,47.9,9930.0
51,Albania,2011,107.0,2930000,2.49,46.7,10200.0
52,Albania,2012,107.0,2920000,2.28,45.8,10400.0
53,Albania,2013,107.0,2920000,1.72,45.2,10500.0
54,Albania,2014,107.0,2920000,2.61,44.9,10700.0
55,Albania,2015,107.0,2920000,3.82,44.8,11000.0
56,Albania,2016,107.0,2930000,4.72,45.2,11400.0
57,Albania,2017,107.0,2930000,5.03,45.6,11900.0
58,Albania,2018,107.0,2930000,5.03,46.1,12400.0
59,Albania,2019,107.0,2940000,5.23,47.0,13000.0
