index,country,Date,population_growth_annual_percent.,population_total.,population_density_per_square_km.,total_gdp_us_inflation_adjusted.,gdppercapita_us_inflation_adjusted.,children_and_elderly_per_100_adults.,life_expectancy_years.,child_mortality_0_5_year_olds_dying_per_1000_born.,gdp_total_yearly_growth.
0,Albania,2010,-1.980460295611608,-0.5545121005419628,-0.05318485796611959,-0.3614933596545703,-0.39270126505590175,-1.2713796744948973,0.9809873866299551,-0.7888025407870455,0.04905026796655914
1,Algeria,2010,0.09083705333198491,0.3759524063495012,-0.5722860479672621,-0.13086993037161257,-0.3679626150773012,-1.228999560865646,1.0016823058843936,-0.6287926500727827,0.09341659280301788
2,Antigua and Barbuda,2010,-0.5083724560774311,-0.6343507815268326,0.5575224243881657,-0.3781211387611551,0.14954319798855806,-1.1442393336071444,1.0327246847660505,-0.8830139717683404,-2.262223987799435
3,Argentina,2010,-0.606750136726738,0.5190576230306371,-0.5728515176731458,0.27593061893367166,0.022506887287636536,-0.7946033961658235,0.9292500884938598,-0.8202063511141438,1.2152508065249037
4,Australia,2010,-0.14169201002092274,-0.016885443363420828,-0.6419519157321214,1.3834180459396925,2.8039334794762345,-1.255487131883928,1.5707925853814417,-0.9652620464345503,0.00257126099503098
5,Austria,2010,-1.3222241778126078,-0.40102474068984245,-0.08145834326029947,0.22643397415127967,2.469627398684336,-1.2607846460875844,1.4155806909731559,-0.9727391441314784,-0.2298237738626101
6,Bahamas,2010,-0.04331432937161578,-0.6268784444283646,-0.4546683491434738,-0.3642775459235798,1.2059504132909582,-1.5945280409179365,0.7223008959494788,-0.8306742878898433,-0.57714871686803
7,Bangladesh,2010,-0.5352027326181511,3.6280886050443346,5.957758115576522,-0.20202135724630105,-0.6154828372956231,-0.7204381973146343,0.3704872686240317,-0.2983049318685577,0.6913056370276763
8,Barbados,2010,-1.184495424903578,-0.6291512919874179,3.017315644981815,-0.3730013295664764,0.40361581939040114,-1.2713796744948973,1.022377225138832,-0.8246926097323006,-0.6189798231424054
9,Belgium,2010,-0.7194372981977626,-0.33115572313375846,1.383108194978218,0.36873682790065665,2.302474358288386,-1.0859666773669243,1.3638433928370606,-0.9697483050527071,-0.21926036318726283
10,Belize,2010,0.6274425841463871,-0.6279727784382791,-0.5785062147319817,-0.37773444622379265,-0.3759859610163068,-0.34961220305868795,0.4739618648962223,-0.7559033109205616,0.03003612875093399
11,Benin,2010,0.9762361791757487,-0.37885746202747045,-0.1968141632605534,-0.3691189364913575,-0.6154828372956231,0.757568265505495,-0.519394259316808,0.6228735043929926,-0.12207698497406748
12,Bhutan,2010,0.0997804788455583,-0.6165804807966044,-0.5502327294378019,-0.3774405598953972,-0.5204061879184071,-1.0065039643120786,0.5463940822867545,-0.3984980410073951,1.8110271686144923
13,Bolivia,2010,-0.08803145693948247,-0.358654372613663,-0.6064404182026314,-0.3495832295038072,-0.533778431150083,-0.18009174854168375,0.49465678415065917,-0.3401766789713554,0.1356702355044072
14,Botswana,2010,0.02823307473697126,-0.580607757701464,-0.6381067217321128,-0.3601012665200655,-0.2415949165379635,-0.7575207967402288,-1.0057248617961032,-0.25194692614760306,0.8413060686176084
15,Brazil,2010,-0.6693541153217517,4.890781693407297,-0.5253520623789235,3.038462105850925,0.08268198183017832,-1.3084622739204919,0.7636907344583556,-0.7409491155267053,0.9300387182905258
16,Bulgaria,2010,-2.1253437889314966,-0.429365185561989,-0.2725871038489554,-0.30163335487086496,-0.2088329206203574,-1.3349498449387738,0.7326483555766986,-0.8755368740714122,-0.5486275080445923
17,Burkina Faso,2010,1.1640481149607895,-0.19927444501584893,-0.33591971090791833,-0.36600992849096353,-0.6277184398526066,1.2343445438345688,-0.9229451847783511,0.6976444813622742,1.003982593017957
18,Burundi,2010,1.342916625232257,-0.39092319598293873,1.2700142538014987,-0.3767599810296393,-0.6507186982110892,0.8105434075420588,-0.9436401040327888,0.36267050453989225,0.18003656034086596
19,Cameroon,2010,0.9046887750671616,-0.07581112082035914,-0.4196092273786908,-0.33952922353238385,-0.5785754459761975,0.8264359501530277,-0.9850299425416655,0.5780109182114236,-0.020668242490733194
20,Canada,2010,-0.5441461581317244,0.32263869817417606,-0.6369757823203457,2.110400016181075,2.5030580067635255,-1.4726852142338396,1.4983603679909079,-0.9532986901194651,-0.031231653166080477
21,Central African Republic,2010,-0.6425238387810316,-0.5121417324657832,-0.6178629062614801,-0.3768218518356173,-0.6363435367370376,0.42382487067514346,-1.9990809860091328,1.1911329293595334,-0.14109112418969263
22,Chad,2010,1.4055206038272705,-0.3030958767256926,-0.6048571030261574,-0.36334948383390997,-0.6061891282496084,1.7535009357928937,-1.0678096195594178,1.2060871247533897,2.127929488874912
23,Chile,2010,-0.670248457873109,-0.15999066004455673,-0.5287448806142251,-0.04115726170352707,0.1963460492994239,-1.3667349301607121,1.2707162561920884,-0.9069406843985105,0.5497559339780222
24,Colombia,2010,-0.5530895836452978,0.6509389011485467,-0.4241329850257595,0.06402310845905593,-0.24828103815380148,-1.2872722171058664,0.991334846257175,-0.7588941499993328,0.2265155673123942
25,Comoros,2010,0.6184991586328139,-0.6176467549601109,1.439655165566578,-0.3790801362538139,-0.6147473639178809,0.35495718602760995,-0.09514841460082586,0.28191784941306813,-0.22771109172754067
26,"Congo, Dem. Rep.",2010,1.441294305881564,1.1728520443385717,-0.4970785770847436,-0.3464896892049077,-0.6438319929467761,1.3614848847223215,-0.9643350232872272,0.6976444813622742,0.8582075256981639
27,"Congo, Rep.",2010,1.2177086680422298,-0.5138253232502672,-0.5858573209084684,-0.3613386826396253,-0.4829639068697144,0.6516179814323675,-0.6642586940978747,-0.08146909865764085,1.179335210228723
28,Costa Rica,2010,-0.40999477542812396,-0.5093357478249767,-0.15496940502516715,-0.3222053978585466,-0.11790166664496095,-1.3137597881241483,1.4052332313459373,-0.884509391307726,0.9427148111009426
29,Cote d'Ivoire,2010,0.5290649034970801,-0.0645871822571328,-0.2952058920842993,-0.3413853477117235,-0.5845929554304516,0.8211384359493717,-1.0885045388138561,0.6228735043929926,-0.027006288895941546
30,Cuba,2010,-1.4223905435646296,-0.3199317845705321,-0.05883955502495557,-0.28044260382340336,-0.2863919313640779,-1.5256603562704034,1.198284038801556,-0.945821592422537,-0.15587989913517883
31,Cyprus,2010,-0.36527764786025707,-0.6058616194687232,0.020326203798748086,-0.3403026086071087,1.3931618185344214,-1.6104205835289054,1.353495933209842,-0.9832070809071779,-0.6597313488457602
32,Denmark,2010,-1.1397782973357111,-0.4812759014169108,0.08252787144594381,0.11816006368979717,3.211786898042351,-1.0012064501084221,1.3121060947009653,-0.9757299832102497,-0.32066910567059703
33,Dominican Republic,2010,-0.35633422234668366,-0.3592155695418243,0.500975453799806,-0.2963743363627358,-0.3017700110805053,-0.6303804558524757,0.8050805729672309,-0.5226178627764028,0.8708836185085809
34,Ecuador,2010,-0.07014460591233591,-0.21891633750149503,-0.31839015002552684,-0.2722447220313197,-0.3545903718456253,-0.7204381973146343,1.022377225138832,-0.6616918799392666,0.013134671670378264
35,Egypt,2010,0.2249884360355854,1.7228250339366624,-0.18041554178992902,-0.04115726170352707,-0.4923244771318876,-0.7151406831109779,0.38083472825125014,-0.6018750983638412,0.3004594420398254
36,El Salvador,2010,-1.1388839547843537,-0.46415939510799065,1.0268622802715517,-0.3514393536831469,-0.4662486028301195,-0.5827028280195684,0.7533432748311356,-0.7499216327630189,-0.3439086091563612
37,Fiji,2010,-0.7024447897219731,-0.6128765810707397,-0.39190121179039455,-0.3750430661637501,-0.4221202001655888,-1.1018592199778932,-0.15723317236414108,-0.6766460753331229,-0.5824304222057037
38,Finland,2010,-1.1281518441680656,-0.48632667377036265,-0.5581493053201722,0.0036990726305156773,2.42282454737347,-1.1230492767925186,1.3638433928370606,-0.9921795981434917,0.03848685729121186
39,France,2010,-1.0950611697678443,1.130762274726473,-0.00794728149543179,3.7035732701143176,2.048401736886543,-0.8952561660352946,1.5087078276181278,-0.974234563670864,-0.2953169200497635
40,Gabon,2010,1.4234074548544173,-0.5909899008724483,-0.6222170229967837,-0.3576264342809459,-0.08112799775785208,0.2278168451398574,-0.4055722034173983,-0.08445993773641206,4.6420212296075745
41,Gambia,2010,1.2892560721508168,-0.589586908552045,0.2860969655640389,-0.37842739925074614,-0.6285876356626655,1.255534600649194,-0.13653825310970266,0.16377970580160303,0.7187705047835794
42,Germany,2010,-1.6737008004960414,1.6330335254308517,0.6536522743883773,4.9100539866851225,2.128635196276599,-1.0647766205522988,1.374190852464279,-0.974234563670864,0.19271265315128275
43,Ghana,2010,0.7079334137685473,0.05045818801593724,-0.04753016090728362,-0.33009392562074036,-0.5785754459761975,0.12716407527038592,-0.47800442080793126,0.08003621159600763,0.7377846439992045
44,Greece,2010,-1.4214962010132723,-0.3171257999297255,-0.15610034443693435,0.08258435025245292,1.1324030755167405,-1.1230492767925186,1.4052332313459373,-0.9787208222890209,-1.7044759041410964
