index,0,1,2
0,"[0.0605653  0.         0.06565405 0.         0.02703808 0.70714722
 0.01957782 0.10500784 0.0150097 ]","[0.1652948  0.1020369  0.01608714 0.03016339 0.09913819 0.03967921
 0.03155731 0.13347298 0.38257008]","[0.01080636 0.06505617 0.01235666 0.04296593 0.03906894 0.13361757
 0.05007949 0.460922   0.18512688]"
1,"[0.43455474 0.0274762  0.04140116 0.0779742  0.05656952 0.11762285
 0.01069499 0.10174265 0.13196369]","[0.03573529 0.08867647 0.02647059 0.03970588 0.06421918 0.32172862
 0.12037525 0.16060542 0.14248329]","[0.         0.02357049 0.01501068 0.07485814 0.03463193 0.18300524
 0.10085949 0.4029735  0.16509053]"
2,"[0.63590757 0.05268158 0.0437599  0.03765148 0.06990525 0.0652702
 0.00535117 0.05937251 0.03010033]","[0.02017837 0.05886288 0.         0.         0.01066448 0.37092102
 0.26537655 0.27399671 0.        ]","[0.         0.01142191 0.02876796 0.02307692 0.12265278 0.23269231
 0.04387182 0.52347783 0.01403846]"
3,"[0.46991042 0.00497679 0.06902256 0.01353383 0.14837362 0.11432778
 0.03093448 0.13267991 0.0162406 ]","[0.         0.01975862 0.00204237 0.         0.02776872 0.35794077
 0.         0.56080526 0.03168426]","[0.00353557 0.         0.         0.10299591 0.32235202 0.17594575
 0.06859487 0.32657589 0.        ]"
4,"[0.20596914 0.05075188 0.         0.00725027 0.05609774 0.18077768
 0.49272471 0.00642857 0.        ]","[0.14586204 0.0087406  0.05681524 0.         0.01533625 0.06042256
 0.44453171 0.18451909 0.08377251]","[0.03142732 0.0698684  0.         0.05430878 0.03254973 0.01832973
 0.69459375 0.06024251 0.03867978]"
5,"[0.         0.         0.01027788 0.00342596 0.00628093 0.95945946
 0.         0.         0.02055577]","[0.07167832 0.0534299  0.00194805 0.01163433 0.13015246 0.15500643
 0.45959703 0.07677636 0.03977712]","[0.00606098 0.0412199  0.         0.07078397 0.1949053  0.06163403
 0.16192568 0.36893954 0.0945306 ]"
6,"[0.08875774 0.         0.02977941 0.09751916 0.05835561 0.69268167
 0.00252953 0.03037688 0.        ]","[0.202974   0.         0.06416533 0.02899543 0.13538685 0.10987893
 0.23058101 0.22726405 0.00075439]","[0.01469329 0.03142732 0.         0.         0.05293023 0.05714059
 0.6013692  0.24243936 0.        ]"
7,"[0.47564992 0.         0.02506899 0.0098289  0.         0.21610825
 0.         0.27334394 0.        ]","[0.0659477  0.08991896 0.         0.11867811 0.08984775 0.35837637
 0.06986056 0.20563049 0.00174006]","[0.         0.         0.03142732 0.01115163 0.         0.
 0.4102755  0.54714554 0.        ]"
8,"[0.70996596 0.01965781 0.00421239 0.         0.         0.02948671
 0.15548726 0.05591554 0.02527433]","[0.06782525 0.0089814  0.07288937 0.02706767 0.10172651 0.12486324
 0.1950881  0.33070826 0.0708502 ]","[0.         0.         0.00559222 0.0047141  0.57022399 0.19095747
 0.02020328 0.18520138 0.02310756]"
9,"[0.21623889 0.00127409 0.         0.02675585 0.00661027 0.32422959
 0.33248082 0.04773777 0.04467272]","[0.1276641  0.03734244 0.01191176 0.03993981 0.09879202 0.24474074
 0.25917927 0.07954751 0.10088235]","[8.25734466e-02 3.14273243e-02 5.07672162e-03 0.00000000e+00
 4.48961776e-04 0.00000000e+00 5.98376224e-01 2.82097322e-01
 0.00000000e+00]"
